Soil_Type,Footing_Type,Cohesion_c,Angle_of_Friction_phi,Unit_Weight_gamma,Depth_of_Foundation_Df,Width_B,Factor_of_Safety,Nc,Nq,N_gamma,Ultimate_Bearing_Capacity_qu,Safe_Bearing_Capacity_qs
Alluvial,Combined,24.86,25,18.89,1.53,2.38,3.0,20.72,10.66,10.88,1067.76,355.92
Alluvial,Isolated (Square),10.07,25,18.31,2.0,2.69,3.0,20.72,10.66,10.88,866.96,288.99
Silty Clay Loam,Combined,17.75,30,17.54,2.44,2.1,3.0,30.14,18.4,22.4,1735.0,578.33
Alluvial,Isolated(Circular),16.84,30,17.84,1.12,2.72,3.0,30.14,18.4,22.4,1418.68,472.89
Silty Clay Loam,Isolated (Square),17.95,25,18.83,1.59,1.25,2.5,20.72,10.66,10.88,819.13,327.65
Silty Clay Loam,Isolated(Rectangular),16.17,25,17.4,1.92,2.74,2.5,20.72,10.66,10.88,950.53,380.21
Silty Clay Loam,Strip,26.62,30,18.56,2.35,1.45,2.5,30.14,18.4,22.4,1906.28,762.51
Silty Clay Loam,Isolated (Square),18.93,20,17.53,1.74,2.28,2.5,14.83,6.4,5.39,583.66,233.46
Clayey Loam,Isolated(Circular),13.41,20,18.93,2.06,2.33,2.5,14.83,6.4,5.39,567.31,226.92
Clayey Loam,Isolated (Square),13.69,25,17.1,1.9,2.39,3.0,20.72,10.66,10.88,852.33,284.11
Alluvial,Isolated (Square),10.33,20,18.7,2.08,2.98,2.5,14.83,6.4,5.39,552.31,220.92
Silty Clay Loam,Strip,19.82,20,17.16,2.09,2.45,2.5,14.83,6.4,5.39,636.77,254.71
Alluvial,Combined,14.64,20,17.34,1.09,2.16,3.0,14.83,6.4,5.39,439.01,146.34
Alluvial,Isolated (Square),14.58,30,18.13,1.0,2.53,3.0,30.14,18.4,22.4,1286.76,428.92
Clayey Loam,Isolated(Rectangular),26.54,30,18.14,1.25,1.76,3.0,30.14,18.4,22.4,1574.71,524.9
Alluvial,Isolated(Rectangular),29.57,25,18.53,1.5,1.62,3.0,20.72,10.66,10.88,1072.29,357.43
Alluvial,Isolated(Rectangular),19.84,20,18.75,1.65,1.64,2.5,14.83,6.4,5.39,575.1,230.04
Alluvial,Combined,21.65,25,17.04,1.74,1.78,3.0,20.72,10.66,10.88,929.65,309.88
Silty Clay Loam,Isolated(Circular),29.86,30,17.59,0.84,2.92,3.0,30.14,18.4,22.4,1747.11,582.37
Clayey Loam,Combined,28.91,20,17.83,0.95,2.27,3.0,14.83,6.4,5.39,646.22,215.41
Clayey Loam,Isolated (Square),16.03,20,17.28,1.01,2.49,3.0,14.83,6.4,5.39,465.38,155.13
Alluvial,Isolated (Square),11.01,20,18.52,2.26,2.58,3.0,14.83,6.4,5.39,559.92,186.64
Clayey Loam,Combined,20.35,25,17.91,2.02,2.09,2.5,20.72,10.66,10.88,1010.94,404.38
Clayey Loam,Isolated (Square),18.16,25,18.96,1.14,1.9,2.5,20.72,10.66,10.88,802.66,321.06
Clayey Loam,Strip,26.25,20,17.35,1.37,2.25,3.0,14.83,6.4,5.39,646.62,215.54
Clayey Loam,Combined,17.03,30,17.45,1.01,1.66,3.0,30.14,18.4,22.4,1162.01,387.34
Alluvial,Combined,25.65,20,18.44,1.14,2.77,3.0,14.83,6.4,5.39,652.59,217.53
Silty Clay Loam,Strip,28.27,30,17.07,0.87,2.08,2.5,30.14,18.4,22.4,1522.98,609.19
Silty Clay Loam,Combined,16.14,25,17.68,2.34,2.26,3.0,20.72,10.66,10.88,992.8,330.93
Clayey Loam,Isolated(Circular),14.96,20,18.47,1.42,1.7,2.5,14.83,6.4,5.39,474.33,189.73
Clayey Loam,Strip,17.57,25,17.65,2.17,1.26,2.5,20.72,10.66,10.88,893.31,357.32
Silty Clay Loam,Isolated (Square),27.42,25,18.63,1.88,1.99,2.5,20.72,10.66,10.88,1143.18,457.27
Alluvial,Isolated (Square),14.54,20,18.77,2.44,1.95,3.0,14.83,6.4,5.39,607.38,202.46
Alluvial,Isolated(Rectangular),20.9,25,18.36,1.21,1.03,3.0,20.72,10.66,10.88,772.74,257.58
Alluvial,Isolated(Circular),10.72,20,18.89,1.21,2.41,3.0,14.83,6.4,5.39,427.95,142.65
Alluvial,Combined,16.42,20,18.87,2.05,2.61,2.5,14.83,6.4,5.39,623.81,249.52
Silty Clay Loam,Strip,14.9,20,18.96,1.37,1.17,2.5,14.83,6.4,5.39,446.99,178.8
Clayey Loam,Strip,12.5,30,17.14,1.75,1.34,2.5,30.14,18.4,22.4,1185.9,474.36
Silty Clay Loam,Isolated(Rectangular),28.35,20,18.76,2.33,1.32,2.5,14.83,6.4,5.39,766.92,306.77
Alluvial,Isolated(Rectangular),29.45,20,17.58,2.26,2.72,3.0,14.83,6.4,5.39,819.89,273.3
Silty Clay Loam,Isolated(Circular),14.67,20,17.12,1.5,2.75,3.0,14.83,6.4,5.39,508.79,169.6
Alluvial,Combined,22.19,30,17.39,1.36,1.66,3.0,30.14,18.4,22.4,1427.29,475.76
Silty Clay Loam,Isolated(Circular),15.98,30,18.63,2.46,1.38,2.5,30.14,18.4,22.4,1612.85,645.14
Silty Clay Loam,Combined,22.33,20,17.65,1.63,1.02,3.0,14.83,6.4,5.39,563.8,187.93
Alluvial,Isolated(Rectangular),23.71,20,17.75,1.45,2.72,3.0,14.83,6.4,5.39,646.45,215.48
Clayey Loam,Isolated (Square),21.74,20,18.8,1.72,1.38,3.0,14.83,6.4,5.39,599.27,199.76
Silty Clay Loam,Strip,17.66,25,17.73,1.9,1.59,2.5,20.72,10.66,10.88,878.38,351.35
Silty Clay Loam,Strip,12.7,30,17.43,1.67,1.98,3.0,30.14,18.4,22.4,1304.89,434.96
Clayey Loam,Isolated (Square),29.57,20,17.27,2.15,1.75,3.0,14.83,6.4,5.39,757.61,252.54
Silty Clay Loam,Isolated(Circular),19.92,25,17.96,2.25,1.27,3.0,20.72,10.66,10.88,967.6,322.53
Silty Clay Loam,Isolated(Rectangular),12.52,25,18.83,2.28,1.46,3.0,20.72,10.66,10.88,866.63,288.88
Clayey Loam,Strip,20.36,25,18.44,1.47,1.91,2.5,20.72,10.66,10.88,902.42,360.97
Silty Clay Loam,Combined,29.32,25,17.11,1.18,1.35,2.5,20.72,10.66,10.88,948.39,379.36
Alluvial,Isolated(Circular),28.74,20,17.78,1.41,1.11,2.5,14.83,6.4,5.39,639.85,255.94
Silty Clay Loam,Strip,25.22,25,17.88,2.02,1.05,3.0,20.72,10.66,10.88,1009.7,336.57
Clayey Loam,Strip,20.81,25,18.35,2.11,2.63,2.5,20.72,10.66,10.88,1106.46,442.58
Alluvial,Isolated(Rectangular),18.72,25,18.08,2.24,2.79,2.5,20.72,10.66,10.88,1094.01,437.6
Alluvial,Isolated(Circular),21.97,30,17.9,1.9,2.79,3.0,30.14,18.4,22.4,1847.3,615.77
Alluvial,Combined,12.58,25,17.98,2.4,1.44,2.5,20.72,10.66,10.88,861.51,344.6
Silty Clay Loam,Isolated(Circular),14.89,20,17.69,1.3,2.32,2.5,14.83,6.4,5.39,478.6,191.44
Alluvial,Isolated (Square),28.85,30,17.43,2.18,1.22,2.5,30.14,18.4,22.4,1806.85,722.74
Clayey Loam,Isolated(Rectangular),25.33,20,17.12,1.94,1.53,3.0,14.83,6.4,5.39,658.8,219.6
Clayey Loam,Isolated(Rectangular),22.86,20,18.78,2.32,1.4,2.5,14.83,6.4,5.39,688.72,275.49
Alluvial,Combined,11.29,30,18.61,2.11,2.74,2.5,30.14,18.4,22.4,1633.9,653.56
Silty Clay Loam,Isolated (Square),29.45,25,17.72,1.05,1.66,2.5,20.72,10.66,10.88,968.56,387.42
Clayey Loam,Isolated (Square),20.13,25,18.57,1.76,1.04,2.5,20.72,10.66,10.88,870.56,348.22
Clayey Loam,Isolated(Circular),15.37,25,18.54,2.18,2.99,2.5,20.72,10.66,10.88,1050.88,420.35
Alluvial,Isolated(Circular),24.08,25,17.16,1.48,2.48,3.0,20.72,10.66,10.88,1001.18,333.73
Alluvial,Combined,28.41,30,18.72,2.48,2.63,2.5,30.14,18.4,22.4,2261.92,904.77
Silty Clay Loam,Isolated (Square),22.79,30,18.11,2.46,2.35,2.5,30.14,18.4,22.4,1983.28,793.31
Silty Clay Loam,Isolated(Rectangular),17.83,20,18.82,1.54,2.49,3.0,14.83,6.4,5.39,576.2,192.07
Alluvial,Isolated (Square),18.71,20,18.66,1.16,2.03,3.0,14.83,6.4,5.39,518.09,172.7
Alluvial,Isolated(Rectangular),27.55,25,17.61,1.79,1.24,2.5,20.72,10.66,10.88,1025.65,410.26
Clayey Loam,Isolated (Square),27.61,30,18.33,1.38,1.24,2.5,30.14,18.4,22.4,1552.17,620.87
Clayey Loam,Strip,13.87,25,18.95,1.19,2.73,3.0,20.72,10.66,10.88,809.2,269.73
Clayey Loam,Isolated(Circular),20.43,20,17.57,2.39,1.23,2.5,14.83,6.4,5.39,629.97,251.99
Clayey Loam,Combined,24.84,25,17.55,1.46,2.36,2.5,20.72,10.66,10.88,1013.14,405.26
Clayey Loam,Isolated (Square),20.32,30,18.82,2.11,2.28,3.0,30.14,18.4,22.4,1823.7,607.9
Clayey Loam,Strip,15.36,30,17.9,0.91,2.98,3.0,30.14,18.4,22.4,1360.1,453.37
Alluvial,Isolated(Rectangular),10.18,20,17.91,1.1,2.21,3.0,14.83,6.4,5.39,383.73,127.91
Alluvial,Isolated (Square),21.72,20,18.99,2.22,1.62,2.5,14.83,6.4,5.39,674.83,269.93
Clayey Loam,Isolated(Circular),11.07,30,18.22,1.44,2.78,3.0,30.14,18.4,22.4,1383.7,461.23
Silty Clay Loam,Combined,28.67,30,17.06,1.06,2.66,2.5,30.14,18.4,22.4,1705.1,682.04
Clayey Loam,Isolated(Rectangular),18.92,25,18.82,0.82,2.07,3.0,20.72,10.66,10.88,768.46,256.15
Alluvial,Combined,18.81,25,18.12,0.94,1.58,2.5,20.72,10.66,10.88,727.06,290.82
Silty Clay Loam,Strip,19.25,20,18.04,2.43,2.25,2.5,14.83,6.4,5.39,675.43,270.17
Clayey Loam,Isolated (Square),26.59,20,17.22,1.38,2.31,2.5,14.83,6.4,5.39,653.62,261.45
Silty Clay Loam,Strip,23.89,20,17.71,1.15,2.61,3.0,14.83,6.4,5.39,609.21,203.07
Silty Clay Loam,Combined,19.26,25,17.87,1.25,1.33,3.0,20.72,10.66,10.88,766.48,255.49
Silty Clay Loam,Strip,17.02,20,18.58,0.85,2.8,3.0,14.83,6.4,5.39,493.69,164.56
Alluvial,Isolated(Rectangular),11.94,30,18.7,1.1,2.19,2.5,30.14,18.4,22.4,1197.03,478.81
Silty Clay Loam,Isolated(Circular),10.69,25,18.9,1.14,1.58,2.5,20.72,10.66,10.88,613.63,245.45
Clayey Loam,Isolated(Rectangular),18.99,30,18.62,1.18,1.18,3.0,30.14,18.4,22.4,1222.72,407.57
Clayey Loam,Isolated(Circular),22.41,30,18.97,1.56,2.66,3.0,30.14,18.4,22.4,1785.11,595.04
Clayey Loam,Isolated (Square),29.46,20,17.95,2.09,2.38,3.0,14.83,6.4,5.39,792.12,264.04
Clayey Loam,Isolated (Square),21.82,25,18.05,1.73,2.24,3.0,20.72,10.66,10.88,1004.93,334.98
Clayey Loam,Isolated(Rectangular),27.82,25,18.92,0.99,2.29,3.0,20.72,10.66,10.88,1011.8,337.27
Silty Clay Loam,Strip,21.71,20,17.68,2.2,2.8,3.0,14.83,6.4,5.39,704.31,234.77
Alluvial,Isolated(Rectangular),12.27,20,18.6,1.19,2.94,2.5,14.83,6.4,5.39,471.0,188.4
Clayey Loam,Isolated(Circular),14.08,30,18.92,1.83,1.02,3.0,30.14,18.4,22.4,1277.59,425.86
Alluvial,Isolated (Square),16.4,25,17.11,1.34,2.43,2.5,20.72,10.66,10.88,810.39,324.16
Clayey Loam,Strip,17.78,30,17.46,1.85,1.3,2.5,30.14,18.4,22.4,1384.45,553.78
Clayey Loam,Strip,29.39,20,17.13,2.5,1.25,3.0,14.83,6.4,5.39,767.64,255.88
Clayey Loam,Strip,24.79,30,18.38,1.86,2.7,3.0,30.14,18.4,22.4,1932.02,644.01
Silty Clay Loam,Isolated (Square),11.62,20,17.17,2.39,2.57,2.5,14.83,6.4,5.39,553.88,221.55
Silty Clay Loam,Strip,10.27,25,17.66,2.47,2.34,3.0,20.72,10.66,10.88,902.59,300.86
Clayey Loam,Strip,29.19,20,17.93,0.83,2.33,2.5,14.83,6.4,5.39,640.72,256.29
Clayey Loam,Isolated(Rectangular),15.6,25,17.48,1.67,1.29,3.0,20.72,10.66,10.88,757.08,252.36
Clayey Loam,Isolated (Square),11.08,25,17.44,2.32,2.18,2.5,20.72,10.66,10.88,867.71,347.08
Silty Clay Loam,Isolated (Square),28.55,30,18.43,2.23,1.96,2.5,30.14,18.4,22.4,2021.29,808.52
Clayey Loam,Combined,12.1,20,18.93,2.32,1.43,2.5,14.83,6.4,5.39,533.47,213.39
Clayey Loam,Isolated(Circular),22.47,30,17.47,1.87,1.15,2.5,30.14,18.4,22.4,1503.37,601.35
Clayey Loam,Isolated(Circular),18.7,25,17.06,1.92,1.72,3.0,20.72,10.66,10.88,896.26,298.75
Silty Clay Loam,Strip,27.42,20,18.0,1.03,2.78,2.5,14.83,6.4,5.39,660.15,264.06
Silty Clay Loam,Isolated(Rectangular),12.86,30,18.9,2.4,1.36,3.0,30.14,18.4,22.4,1510.11,503.37
Silty Clay Loam,Combined,13.17,20,17.7,1.64,2.92,3.0,14.83,6.4,5.39,520.38,173.46
Clayey Loam,Combined,14.82,20,17.86,1.55,1.05,2.5,14.83,6.4,5.39,447.49,179.0
Silty Clay Loam,Isolated(Rectangular),19.88,25,17.58,1.26,2.69,3.0,20.72,10.66,10.88,905.3,301.77
Alluvial,Isolated(Rectangular),20.9,25,17.16,1.72,2.49,2.5,20.72,10.66,10.88,980.12,392.05
Alluvial,Isolated(Rectangular),26.38,30,17.19,1.94,2.26,2.5,30.14,18.4,22.4,1843.82,737.53
Silty Clay Loam,Isolated (Square),20.3,20,18.48,0.92,2.98,2.5,14.83,6.4,5.39,558.27,223.31
Clayey Loam,Combined,27.24,25,17.02,2.35,1.56,2.5,20.72,10.66,10.88,1135.22,454.09
Silty Clay Loam,Combined,23.77,30,18.18,2.18,1.49,3.0,30.14,18.4,22.4,1749.05,583.02
Silty Clay Loam,Isolated (Square),10.08,30,17.83,1.16,2.41,2.5,30.14,18.4,22.4,1165.64,466.26
Alluvial,Combined,13.29,20,18.23,1.44,2.92,3.0,14.83,6.4,5.39,508.56,169.52
Silty Clay Loam,Isolated (Square),29.23,25,17.49,1.33,2.4,2.5,20.72,10.66,10.88,1081.96,432.78
Clayey Loam,Combined,10.22,20,17.73,2.49,1.32,2.5,14.83,6.4,5.39,497.18,198.87
Clayey Loam,Combined,20.35,25,17.36,0.9,1.4,3.0,20.72,10.66,10.88,720.42,240.14
Clayey Loam,Isolated(Circular),20.36,25,18.69,0.88,2.58,3.0,20.72,10.66,10.88,859.5,286.5
Silty Clay Loam,Combined,27.06,30,18.66,2.34,1.08,2.5,30.14,18.4,22.4,1844.72,737.89
Alluvial,Isolated(Circular),11.16,25,17.73,1.15,1.62,2.5,20.72,10.66,10.88,604.84,241.94
Silty Clay Loam,Combined,27.73,20,18.18,2.31,1.76,2.5,14.83,6.4,5.39,766.24,306.5
Clayey Loam,Strip,29.23,25,17.95,1.89,2.07,3.0,20.72,10.66,10.88,1169.42,389.81
Silty Clay Loam,Isolated(Circular),15.52,20,18.86,1.9,1.32,2.5,14.83,6.4,5.39,526.59,210.64
Silty Clay Loam,Isolated(Circular),26.45,25,18.51,1.13,1.48,2.5,20.72,10.66,10.88,920.04,368.02
Clayey Loam,Strip,29.69,25,18.99,1.79,1.64,2.5,20.72,10.66,10.88,1146.95,458.78
Silty Clay Loam,Isolated (Square),15.47,30,17.2,2.43,1.23,3.0,30.14,18.4,22.4,1472.26,490.75
Alluvial,Strip,26.19,30,17.87,1.17,1.33,2.5,30.14,18.4,22.4,1440.26,576.1
Clayey Loam,Isolated (Square),29.36,25,18.93,1.48,1.53,2.5,20.72,10.66,10.88,1064.55,425.82
Silty Clay Loam,Isolated(Circular),29.84,20,18.24,1.74,2.6,3.0,14.83,6.4,5.39,773.46,257.82
Alluvial,Strip,25.92,30,18.66,1.02,2.27,3.0,30.14,18.4,22.4,1605.85,535.28
Clayey Loam,Isolated(Circular),29.35,25,18.84,1.54,2.32,3.0,20.72,10.66,10.88,1155.19,385.06
Alluvial,Strip,14.7,30,17.01,1.47,1.14,2.5,30.14,18.4,22.4,1120.33,448.13
Clayey Loam,Isolated(Circular),18.77,20,17.95,2.15,2.25,2.5,14.83,6.4,5.39,634.2,253.68
Alluvial,Isolated (Square),20.44,25,17.2,1.66,1.29,3.0,20.72,10.66,10.88,848.58,282.86
Silty Clay Loam,Isolated (Square),26.43,20,17.31,2.21,1.44,2.5,14.83,6.4,5.39,703.97,281.59
Clayey Loam,Isolated(Rectangular),27.17,25,18.85,1.38,1.74,2.5,20.72,10.66,10.88,1018.69,407.48
Alluvial,Isolated (Square),18.26,25,17.51,2.5,2.11,3.0,20.72,10.66,10.88,1045.98,348.66
Silty Clay Loam,Strip,27.5,25,18.4,1.62,2.85,2.5,20.72,10.66,10.88,1172.83,469.13
Silty Clay Loam,Strip,11.06,20,18.05,2.02,1.46,2.5,14.83,6.4,5.39,468.39,187.36
Clayey Loam,Strip,20.35,25,17.57,1.92,1.14,2.5,20.72,10.66,10.88,890.22,356.09
Alluvial,Isolated(Rectangular),14.95,20,18.44,2.49,2.72,3.0,14.83,6.4,5.39,650.74,216.91
Silty Clay Loam,Strip,23.13,20,17.56,2.0,1.26,2.5,14.83,6.4,5.39,627.41,250.96
Clayey Loam,Combined,20.49,30,17.59,0.86,1.54,3.0,30.14,18.4,22.4,1199.31,399.77
Silty Clay Loam,Isolated(Circular),29.16,30,18.95,1.12,1.21,2.5,30.14,18.4,22.4,1526.21,610.48
Silty Clay Loam,Isolated(Circular),24.3,20,18.09,1.17,1.88,2.5,14.83,6.4,5.39,587.48,234.99
Alluvial,Isolated (Square),27.24,20,17.2,1.07,1.99,2.5,14.83,6.4,5.39,614.0,245.6
Alluvial,Isolated(Circular),27.76,30,17.33,2.35,1.01,2.5,30.14,18.4,22.4,1782.07,712.83
Silty Clay Loam,Strip,14.09,25,17.85,1.34,2.47,3.0,20.72,10.66,10.88,786.77,262.26
Alluvial,Isolated(Rectangular),11.16,25,18.01,1.58,1.4,2.5,20.72,10.66,10.88,671.74,268.7
Silty Clay Loam,Combined,24.19,25,17.11,0.93,1.71,3.0,20.72,10.66,10.88,830.01,276.67
Clayey Loam,Isolated(Rectangular),15.72,20,17.57,1.54,2.18,2.5,14.83,6.4,5.39,509.52,203.81
Silty Clay Loam,Isolated(Circular),16.1,30,18.64,1.88,2.69,3.0,30.14,18.4,22.4,1691.63,563.88
Clayey Loam,Isolated(Circular),25.06,30,17.34,1.49,1.26,3.0,30.14,18.4,22.4,1475.4,491.8
Silty Clay Loam,Strip,26.65,25,17.24,2.22,1.1,2.5,20.72,10.66,10.88,1063.34,425.34
Silty Clay Loam,Combined,28.35,25,17.92,1.49,2.13,2.5,20.72,10.66,10.88,1079.69,431.88
Silty Clay Loam,Isolated (Square),18.93,30,18.32,1.22,1.69,3.0,30.14,18.4,22.4,1328.56,442.85
Clayey Loam,Isolated(Rectangular),27.78,20,18.48,2.36,1.06,3.0,14.83,6.4,5.39,743.89,247.96
Silty Clay Loam,Isolated (Square),13.0,25,18.14,1.88,1.23,2.5,20.72,10.66,10.88,754.28,301.71
Clayey Loam,Strip,10.7,20,17.72,1.35,1.89,3.0,14.83,6.4,5.39,402.04,134.01
Alluvial,Strip,20.49,30,18.16,1.59,1.13,3.0,30.14,18.4,22.4,1378.69,459.56
Alluvial,Isolated(Circular),12.51,30,17.23,1.43,1.65,2.5,30.14,18.4,22.4,1148.82,459.53
Silty Clay Loam,Isolated(Rectangular),25.91,20,18.86,1.09,1.64,2.5,14.83,6.4,5.39,599.17,239.67
Clayey Loam,Isolated(Circular),12.0,30,18.36,1.35,2.93,3.0,30.14,18.4,22.4,1420.24,473.41
Silty Clay Loam,Isolated (Square),13.17,20,18.46,2.13,1.49,3.0,14.83,6.4,5.39,521.08,173.69
Alluvial,Isolated(Circular),12.24,20,17.13,2.49,2.42,3.0,14.83,6.4,5.39,566.22,188.74
Silty Clay Loam,Isolated(Circular),13.1,25,17.3,1.5,2.14,3.0,20.72,10.66,10.88,749.46,249.82
Clayey Loam,Isolated(Rectangular),11.14,30,18.16,2.28,1.83,3.0,30.14,18.4,22.4,1469.82,489.94
Silty Clay Loam,Combined,11.66,30,17.49,2.3,2.9,3.0,30.14,18.4,22.4,1659.68,553.23
Clayey Loam,Isolated(Circular),20.47,25,18.41,1.98,1.99,3.0,20.72,10.66,10.88,1012.01,337.34
Clayey Loam,Isolated(Circular),11.92,25,18.74,2.46,2.06,3.0,20.72,10.66,10.88,948.42,316.14
Alluvial,Isolated(Rectangular),22.8,20,18.23,0.91,2.6,3.0,14.83,6.4,5.39,572.03,190.68
Clayey Loam,Isolated(Circular),21.1,30,17.59,1.78,1.12,2.5,30.14,18.4,22.4,1432.71,573.08
Alluvial,Strip,20.82,20,17.54,2.11,1.3,2.5,14.83,6.4,5.39,607.07,242.83
Clayey Loam,Isolated(Rectangular),28.49,25,18.13,2.36,1.32,2.5,20.72,10.66,10.88,1176.61,470.64
Silty Clay Loam,Isolated (Square),19.25,30,18.71,1.19,1.61,3.0,30.14,18.4,22.4,1327.25,442.42
Silty Clay Loam,Isolated(Rectangular),11.41,20,18.85,2.1,1.29,3.0,14.83,6.4,5.39,488.09,162.7
Silty Clay Loam,Isolated(Circular),22.87,20,18.34,2.0,1.37,3.0,14.83,6.4,5.39,641.63,213.88
Alluvial,Combined,21.98,20,17.89,1.69,2.22,3.0,14.83,6.4,5.39,626.5,208.83
Clayey Loam,Isolated(Circular),17.08,30,17.53,0.94,1.46,2.5,30.14,18.4,22.4,1104.64,441.86
Silty Clay Loam,Isolated (Square),10.21,25,17.27,1.59,2.17,2.5,20.72,10.66,10.88,708.14,283.26
Alluvial,Isolated (Square),25.1,20,18.23,1.92,2.7,3.0,14.83,6.4,5.39,728.89,242.96
Alluvial,Isolated(Circular),26.61,20,17.82,1.56,1.44,3.0,14.83,6.4,5.39,641.7,213.9
Silty Clay Loam,Combined,26.6,20,17.72,1.98,1.43,3.0,14.83,6.4,5.39,687.32,229.11
Alluvial,Combined,12.23,25,17.79,1.53,2.34,3.0,20.72,10.66,10.88,770.02,256.67
Clayey Loam,Combined,21.57,25,17.22,1.36,2.79,3.0,20.72,10.66,10.88,957.94,319.31
Silty Clay Loam,Isolated (Square),25.27,25,18.93,0.98,2.61,3.0,20.72,10.66,10.88,990.13,330.04
Clayey Loam,Isolated(Rectangular),27.29,30,18.37,2.05,2.93,3.0,30.14,18.4,22.4,2118.27,706.09
Silty Clay Loam,Isolated(Circular),13.86,25,17.42,1.92,2.84,2.5,20.72,10.66,10.88,912.85,365.14
Silty Clay Loam,Isolated(Circular),15.17,20,17.93,1.09,1.78,3.0,14.83,6.4,5.39,436.06,145.35
Clayey Loam,Isolated(Rectangular),20.65,25,18.42,1.4,2.85,2.5,20.72,10.66,10.88,988.35,395.34
Clayey Loam,Combined,21.85,20,18.88,1.06,2.84,2.5,14.83,6.4,5.39,596.62,238.65
Clayey Loam,Combined,28.16,20,18.57,1.29,1.48,2.5,14.83,6.4,5.39,645.0,258.0
Silty Clay Loam,Combined,15.29,25,17.72,2.43,2.82,3.0,20.72,10.66,10.88,1047.66,349.22
Silty Clay Loam,Isolated(Circular),14.06,20,18.43,1.05,2.89,2.5,14.83,6.4,5.39,475.9,190.36
Clayey Loam,Isolated(Circular),19.74,20,18.88,2.14,1.53,3.0,14.83,6.4,5.39,629.17,209.72
Alluvial,Isolated(Circular),16.53,20,18.7,1.61,2.27,2.5,14.83,6.4,5.39,552.22,220.89
Silty Clay Loam,Isolated(Rectangular),11.8,20,17.93,2.42,2.03,3.0,14.83,6.4,5.39,550.79,183.6
Silty Clay Loam,Isolated (Square),24.94,25,17.27,1.11,2.55,2.5,20.72,10.66,10.88,960.68,384.27
Clayey Loam,Isolated(Rectangular),21.24,25,17.89,2.5,2.34,2.5,20.72,10.66,10.88,1144.59,457.84
Silty Clay Loam,Isolated(Circular),19.33,20,18.99,0.91,2.71,2.5,14.83,6.4,5.39,535.95,214.38
Clayey Loam,Isolated (Square),16.47,20,17.98,2.2,2.19,3.0,14.83,6.4,5.39,603.53,201.18
Silty Clay Loam,Isolated(Circular),26.54,30,18.97,1.95,1.38,2.5,30.14,18.4,22.4,1773.76,709.5
Alluvial,Strip,28.59,25,17.11,1.13,2.4,2.5,20.72,10.66,10.88,1021.88,408.75
Silty Clay Loam,Isolated(Rectangular),27.99,30,17.2,2.1,1.2,2.5,30.14,18.4,22.4,1739.39,695.76
Clayey Loam,Strip,23.61,20,18.37,1.35,2.8,2.5,14.83,6.4,5.39,647.47,258.99
Clayey Loam,Isolated(Rectangular),25.92,25,18.95,1.46,1.5,2.5,20.72,10.66,10.88,986.62,394.65
Clayey Loam,Isolated (Square),17.99,25,17.98,1.88,2.06,3.0,20.72,10.66,10.88,934.58,311.53
Clayey Loam,Strip,18.74,25,17.96,1.99,2.97,3.0,20.72,10.66,10.88,1059.46,353.15
Clayey Loam,Strip,10.37,25,17.16,2.0,2.84,2.5,20.72,10.66,10.88,845.83,338.33
Alluvial,Strip,26.92,25,18.1,1.66,1.62,2.5,20.72,10.66,10.88,1037.58,415.03
Silty Clay Loam,Isolated (Square),14.61,25,17.95,1.22,2.78,2.5,20.72,10.66,10.88,807.62,323.05
Silty Clay Loam,Strip,21.13,30,17.02,1.89,2.37,3.0,30.14,18.4,22.4,1680.52,560.17
Silty Clay Loam,Isolated(Rectangular),11.55,30,18.11,1.81,2.76,2.5,30.14,18.4,22.4,1511.07,604.43
Silty Clay Loam,Strip,12.9,20,18.27,1.65,2.56,2.5,14.83,6.4,5.39,510.29,204.12
Alluvial,Combined,20.58,25,18.17,0.81,2.57,2.5,20.72,10.66,10.88,837.34,334.94
Silty Clay Loam,Strip,18.37,20,17.84,2.26,1.98,3.0,14.83,6.4,5.39,625.66,208.55
Clayey Loam,Isolated(Circular),26.33,25,17.76,1.5,1.24,2.5,20.72,10.66,10.88,949.34,379.74
Alluvial,Isolated(Circular),15.99,30,18.47,0.89,2.48,3.0,30.14,18.4,22.4,1297.43,432.48
Clayey Loam,Isolated (Square),13.6,30,17.7,1.37,2.75,3.0,30.14,18.4,22.4,1401.25,467.08
Clayey Loam,Combined,22.56,25,18.95,1.57,2.01,3.0,20.72,10.66,10.88,991.8,330.6
Silty Clay Loam,Isolated(Circular),25.64,30,17.94,1.91,2.48,2.5,30.14,18.4,22.4,1901.57,760.63
Clayey Loam,Combined,24.31,30,18.01,1.58,2.06,3.0,30.14,18.4,22.4,1671.82,557.27
Alluvial,Isolated(Circular),24.96,25,17.31,1.61,1.44,2.5,20.72,10.66,10.88,949.86,379.94
Silty Clay Loam,Isolated(Circular),11.96,30,17.32,2.16,1.69,2.5,30.14,18.4,22.4,1376.67,550.67
Alluvial,Strip,27.48,25,18.59,1.66,1.84,2.5,20.72,10.66,10.88,1084.43,433.77
Silty Clay Loam,Isolated (Square),14.37,25,18.37,1.73,1.79,3.0,20.72,10.66,10.88,815.4,271.8
Clayey Loam,Isolated(Rectangular),23.0,25,18.77,2.25,2.76,3.0,20.72,10.66,10.88,1208.58,402.86
Alluvial,Isolated (Square),26.19,20,18.67,1.48,1.16,2.5,14.83,6.4,5.39,623.61,249.44
